25597,000000000000000
21080,000000000000001
26500,0000000000000100
25386,0000000000000101
26257,0000000000000110
8076,0000000000000111
11581,000000000000100
27309,000000000000101
25336,00000000000011000
24634,00000000000011001
24777,0000000000001101
11930,00000000000011100
20661,00000000000011101
14670,0000000000001111
27557,000000000001000
24626,0000000000010010
21228,0000000000010011
25367,00000000000101
401,00000000000110000
8203,00000000000110001
16876,000000000001100100
26050,0000000000011001010
16462,0000000000011001011
26475,0000000000011001100
27213,0000000000011001101
18725,0000000000011001110000
27158,0000000000011001110001
14425,00000000000110011100100
26184,00000000000110011100101
15218,0000000000011001110011000
18511,0000000000011001110011001
11087,000000000001100111001101
14325,00000000000110011100111
27526,0000000000011001110100
21779,00000000000110011101010
27024,00000000000110011101011
25798,00000000000110011101100
4514,00000000000110011101101
24991,0000000000011001110111
23303,00000000000110011110
9502,00000000000110011111
22247,000000000001101
3841,000000000001110000
27674,000000000001110001
20044,0000000000011100100
10115,0000000000011100101
5203,000000000001110011
20848,0000000000011101
24866,000000000001111
28077,000000000010
25815,00000000001100
21316,0000000000110100
23840,0000000000110101
9351,000000000011011000
24593,000000000011011001
12615,00000000001101101
21843,00000000001101110
11695,00000000001101111
23535,00000000001110
14329,000000000011110
14290,0000000000111110
17934,0000000000111111
14275,000000000100
13741,00000000010100
11912,00000000010101
16818,000000000101100
16942,000000000101101
22450,0000000001011100
14533,0000000001011101
19357,000000000101111
27259,0000000001100
15433,0000000001101
6589,000000000111000
15559,000000000111001
9311,00000000011101
15472,00000000011110
21076,00000000011111
12704,0000000010000
25513,000000001000100000
19908,000000001000100001
21972,000000001000100010000
16993,000000001000100010001
577,00000000100010001001
19567,0000000010001000101
24429,000000001000100011000
26491,000000001000100011001
13867,0000000010001000110100
11332,0000000010001000110101
25921,000000001000100011011
17391,0000000010001000111
18183,0000000010001001
21782,000000001000101000
25604,000000001000101001
18801,00000000100010101000
20932,0000000010001010100100
21227,0000000010001010100101
16994,000000001000101010011
27705,0000000010001010101
17705,000000001000101011
16711,000000001000101100
4329,0000000010001011010
27522,0000000010001011011
21873,00000000100010111
21552,00000000100011
19342,00000000100100
26215,00000000100101
23150,00000000100110
15381,00000000100111
419,00000000101000
11390,000000001010010
252,0000000010100110
437,0000000010100111
